Company,Category,final_score,final_tier,website_url,linkedin_url,total_contacts_found,dm_contacts_found,best_contact_name,best_contact_title,best_contact_source,best_contact_score,all_dm_names
Vedanta Aluminium,Steel & Metals,160,A,https://www.vedantaaluminium.com,https://www.linkedin.com/company/vedanta-aluminium,5,0,Alumina Business Praveen Purohit Chief Human Resources Officer Anup Agarwal,Executive - IT,website,20,
Mahindra & Mahindra,Auto & Engineering,154,A,https://www.mahindramahindra.com,https://www.linkedin.com/company/mahindra-and-mahindra,0,0,,,,0,
Hindalco Industries,Steel & Metals,151,A,https://www.hindalco.com,https://www.linkedin.com/company/hindalco,5,5,Samik Basu Chief Human Resources Officer Mr,Chief Procurement Officer Mr. Sukanta Das Chief Logistics Officer Ms. Geetika Anand Com,website,65,Samik Basu Chief Human Resources Officer Mr (Chief Procurement Officer Mr. Sukanta Das Chief Logistics Officer Ms. Geetika Anand Com); Manufacturing Centre of Excellence Mr (Chief Procurement Officer Mr. Sukanta Das Chief Logistics Officer Ms. Geetika Anand Com); Chief Legal (Chief Procurement Officer Mr. Sukanta Das Chief Logistics Officer Ms. Geetika Anand Com); Abhishek Mohla (Chief Procurement Officer Mr. Sukanta Das Chief Logistics Officer Ms. Geetika Anand Com); Samik Basu (Chief Procurement Officer Mr. Sukanta Das Chief Logistics Officer Ms. Geetika Anand Com)
Hindustan Unilever,FMCG & Consumer,149,A,https://www.hindustanunilever.com,https://www.linkedin.com/company/hindustan-unilever,0,0,,,,0,
Tata Motors,Auto & Engineering,144,A,https://www.tatamotors.com,https://www.linkedin.com/company/tata-motors,0,0,,,,0,
Coal India Ltd,Mining & Minerals,144,A,https://www.coal.com,https://www.linkedin.com/company/coal,0,0,,,,0,
BPCL,Chemicals & Petrochemicals,139,A,https://www.bpcl.com,https://www.linkedin.com/company/bpcl,0,0,,,,0,
IOCL Petrochemicals,Chemicals & Petrochemicals,139,A,,https://www.linkedin.com/company/iocl-petrochemicals,0,0,,,,0,
Amul (GCMMF),FMCG & Consumer,135,A,https://www.amulgcmmf.com,https://www.linkedin.com/company/amul-gcmmf,0,0,,,,0,
Maruti Suzuki,Auto & Engineering,134,A,https://www.marutisuzuki.com,https://www.linkedin.com/company/maruti-suzuki,0,0,,,,0,
Reliance Industries,Chemicals & Petrochemicals,133,A,https://www.reliance.com,https://www.linkedin.com/company/reliance,0,0,,,,0,
HPCL,Chemicals & Petrochemicals,131,A,https://www.hpcl.com,https://www.linkedin.com/company/hpcl,0,0,,,,0,
Nestle India,FMCG & Consumer,129,A,https://www.nestle.com,https://www.linkedin.com/company/nestle,0,0,,,,0,
Vedanta Ltd,Mining & Minerals,126,A,https://www.vedanta.com,https://www.linkedin.com/company/vedanta,0,0,,,,0,
SAIL,Steel & Metals,126,A,https://www.sail.com,https://www.linkedin.com/company/sail,0,0,,,,0,
Berger Paints,Chemicals & Petrochemicals,125,A,https://www.bergerpaints.com,https://www.linkedin.com/company/berger-paints,5,5,Board Of,Director Details DR . ANOOP KUMAR MITTAL Independent Director Detai,website,50,Board Of (Director Details DR . ANOOP KUMAR MITTAL Independent Director Detai); Board Of Directors Management team Key (Director Details DR . ANOOP KUMAR MITTAL Independent Director Detai); CEO Details MR (Director Details DR . ANOOP KUMAR MITTAL Independent Director Detai); Management team Key Managerial Resources MS (Director Details DR . ANOOP KUMAR MITTAL Independent Director Detai); SONU HALAN BHASIN Independent (Director Details DR . ANOOP KUMAR MITTAL Independent Director Detai)
Adani Wilmar,FMCG & Consumer,124,A,https://www.adaniwilmar.com,https://www.linkedin.com/company/adani-wilmar,0,0,,,,0,
Asian Paints,Chemicals & Petrochemicals,124,A,https://www.asianpaints.com,https://www.linkedin.com/company/asian-paints,0,0,,,,0,
FCI (Food Corporation),FMCG & Consumer,123,A,,https://www.linkedin.com/company/fci-food,0,0,,,,0,
GAIL India,Chemicals & Petrochemicals,121,A,https://www.gail.com,https://www.linkedin.com/company/gail,0,0,,,,0,
UPL Ltd,Chemicals & Petrochemicals,121,A,https://www.upl.co.in,https://www.linkedin.com/company/upl,0,0,,,,0,
ITC Ltd (FMCG),FMCG & Consumer,121,A,,https://www.linkedin.com/company/itc-fmcg,0,0,,,,0,
