Company,Score,LinkedIn Search URL,Google Search URL,Contact 1 Name,Contact 1 Title,Contact 1 LinkedIn,Contact 1 Email,Contact 2 Name,Contact 2 Title,Contact 2 LinkedIn,Contact 2 Email,Notes
Vedanta Aluminium,160,https://www.linkedin.com/search/results/people/?keywords=Vedanta%20Aluminium%20VP%20Logistics,https://www.google.com/search?q=%22Vedanta+Aluminium%22+%22VP+Logistics%22+OR+%22Director+Supply+Chain%22+site:linkedin.com,,,,,,,,
Mahindra & Mahindra,154,https://www.linkedin.com/search/results/people/?keywords=Mahindra%20VP%20Supply%20Chain,https://www.google.com/search?q=%22Mahindra%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
Hindalco Industries,151,https://www.linkedin.com/search/results/people/?keywords=Hindalco%20VP%20Logistics,https://www.google.com/search?q=%22Hindalco%22+%22VP+Logistics%22+OR+%22Chief+Procurement%22+site:linkedin.com,,,,,,,,
Hindustan Unilever,149,https://www.linkedin.com/search/results/people/?keywords=HUL%20VP%20Supply%20Chain,https://www.google.com/search?q=%22Hindustan+Unilever%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
Tata Motors,144,https://www.linkedin.com/search/results/people/?keywords=Tata%20Motors%20VP%20Supply%20Chain,https://www.google.com/search?q=%22Tata+Motors%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
Coal India Ltd,144,https://www.linkedin.com/search/results/people/?keywords=Coal%20India%20Director%20Operations,https://www.google.com/search?q=%22Coal+India%22+%22Director+Operations%22+site:linkedin.com,,,,,,,,
BPCL,139,https://www.linkedin.com/search/results/people/?keywords=BPCL%20VP%20Supply%20Chain,https://www.google.com/search?q=%22BPCL%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
IOCL Petrochemicals,139,https://www.linkedin.com/search/results/people/?keywords=Indian%20Oil%20VP%20Logistics,https://www.google.com/search?q=%22Indian+Oil%22+%22VP+Logistics%22+site:linkedin.com,,,,,,,,
Amul (GCMMF),135,https://www.linkedin.com/search/results/people/?keywords=Amul%20GCMMF%20VP%20Supply%20Chain,https://www.google.com/search?q=%22Amul%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
Maruti Suzuki,134,https://www.linkedin.com/search/results/people/?keywords=Maruti%20Suzuki%20VP%20Supply%20Chain,https://www.google.com/search?q=%22Maruti+Suzuki%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
Reliance Industries,133,https://www.linkedin.com/search/results/people/?keywords=Reliance%20VP%20Supply%20Chain,https://www.google.com/search?q=%22Reliance+Industries%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
HPCL,131,https://www.linkedin.com/search/results/people/?keywords=HPCL%20VP%20Supply%20Chain,https://www.google.com/search?q=%22HPCL%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
Nestle India,129,https://www.linkedin.com/search/results/people/?keywords=Nestle%20India%20VP%20Supply%20Chain,https://www.google.com/search?q=%22Nestle+India%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
Vedanta Ltd,126,https://www.linkedin.com/search/results/people/?keywords=Vedanta%20VP%20Operations,https://www.google.com/search?q=%22Vedanta%22+%22VP+Operations%22+site:linkedin.com,,,,,,,,
SAIL,126,https://www.linkedin.com/search/results/people/?keywords=SAIL%20Director%20Logistics,https://www.google.com/search?q=%22SAIL%22+%22Director+Logistics%22+site:linkedin.com,,,,,,,,
Berger Paints,125,https://www.linkedin.com/search/results/people/?keywords=Berger%20Paints%20VP%20Supply%20Chain,https://www.google.com/search?q=%22Berger+Paints%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
Adani Wilmar,124,https://www.linkedin.com/search/results/people/?keywords=Adani%20Wilmar%20VP%20Supply%20Chain,https://www.google.com/search?q=%22Adani+Wilmar%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
Asian Paints,124,https://www.linkedin.com/search/results/people/?keywords=Asian%20Paints%20VP%20Supply%20Chain,https://www.google.com/search?q=%22Asian+Paints%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
FCI (Food Corporation),123,https://www.linkedin.com/search/results/people/?keywords=Food%20Corporation%20India%20Director%20Logistics,https://www.google.com/search?q=%22Food+Corporation+of+India%22+%22Director+Logistics%22+site:linkedin.com,,,,,,,,
GAIL India,121,https://www.linkedin.com/search/results/people/?keywords=GAIL%20VP%20Operations,https://www.google.com/search?q=%22GAIL%22+%22VP+Operations%22+site:linkedin.com,,,,,,,,
UPL Ltd,121,https://www.linkedin.com/search/results/people/?keywords=UPL%20VP%20Supply%20Chain,https://www.google.com/search?q=%22UPL%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
ITC Ltd (FMCG),121,https://www.linkedin.com/search/results/people/?keywords=ITC%20VP%20Supply%20Chain,https://www.google.com/search?q=%22ITC%22+%22VP+Supply+Chain%22+site:linkedin.com,,,,,,,,
