linkedin_url,company_name,priority_score,category,signals
https://www.linkedin.com/company/vedanta-aluminium,Vedanta Aluminium,160,Steel & Metals,digital_transformation|expansion|cost_optimization|sustainability
https://www.linkedin.com/company/mahindra-and-mahindra,Mahindra & Mahindra,154,Auto & Engineering,digital_transformation|expansion|sustainability
https://www.linkedin.com/company/hindalco,Hindalco Industries,151,Steel & Metals,digital_transformation|expansion
https://www.linkedin.com/company/hindustan-unilever,Hindustan Unilever,149,FMCG & Consumer,digital_transformation|cost_optimization|sustainability
https://www.linkedin.com/company/tata-motors,Tata Motors,144,Auto & Engineering,digital_transformation|expansion|cost_optimization
https://www.linkedin.com/company/coal-india-limited,Coal India Ltd,144,Mining & Minerals,digital_transformation|expansion|cost_optimization
https://www.linkedin.com/company/baboratpetroleum,BPCL,139,Chemicals & Petrochemicals,digital_transformation|expansion|cost_optimization
https://www.linkedin.com/company/indianoilcorporation,IOCL,139,Chemicals & Petrochemicals,digital_transformation|expansion|cost_optimization
https://www.linkedin.com/company/amul-gcmmf,Amul (GCMMF),135,FMCG & Consumer,digital_transformation|logistics_tech|expansion|cost_optimization
https://www.linkedin.com/company/maruti-suzuki-india-limited,Maruti Suzuki,134,Auto & Engineering,digital_transformation|expansion|cost_optimization
https://www.linkedin.com/company/reliance-industries-limited,Reliance Industries,133,Chemicals & Petrochemicals,digital_transformation
https://www.linkedin.com/company/hindustan-petroleum-corporation-limited,HPCL,131,Chemicals & Petrochemicals,digital_transformation|cost_optimization
https://www.linkedin.com/company/nestleindia,Nestle India,129,FMCG & Consumer,digital_transformation|expansion|cost_optimization
https://www.linkedin.com/company/vedanta-limited,Vedanta Ltd,126,Mining & Minerals,digital_transformation|expansion
https://www.linkedin.com/company/aborateel-authority-of-india-limited,SAIL,126,Steel & Metals,digital_transformation|sustainability
https://www.linkedin.com/company/berger-paints-india,Berger Paints,125,Chemicals & Petrochemicals,digital_transformation|expansion|cost_optimization|sustainability
https://www.linkedin.com/company/adani-wilmar-limited,Adani Wilmar,124,FMCG & Consumer,digital_transformation|expansion|cost_optimization
https://www.linkedin.com/company/asian-paints-limited,Asian Paints,124,Chemicals & Petrochemicals,digital_transformation|expansion|cost_optimization
https://www.linkedin.com/company/food-corporation-of-india,FCI (Food Corporation),123,FMCG & Consumer,digital_transformation
https://www.linkedin.com/company/gail-india-limited,GAIL India,121,Chemicals & Petrochemicals,digital_transformation|expansion
https://www.linkedin.com/company/upl-limited,UPL Ltd,121,Chemicals & Petrochemicals,digital_transformation|cost_optimization
https://www.linkedin.com/company/itc-limited,ITC Ltd (FMCG),121,FMCG & Consumer,digital_transformation|expansion
